Id,ReportedDate,AmendDate,Tradeid,Book,BookOwner,Amender,Supervisor,ISIN,TradeDate,SettlementDate,Action,SettDateChange,BookChange,CPartyChange,MultiAmend,PnL,Counterparty,Desk,Quantity,Price,BS
12,23/02/2018,26/02/2018,OM74739749,LN202,Niall Horan,Liam Payne,Liam Gallagher,GENY,20/02/2018,11/03/2018,Cancel,Y,Y,N,N,400,MCXXXX,LONMID,96292,4109,B
13,23/03/2018,24/03/2018,XE29705944,LN202,Niall Horan,Liam Payne,Liam Gallagher,RAVN,20/03/2018,07/04/2018,Amend,N,N,Y,N,500,TY00TYO,LONLONG,49613,2209,S
14,08/02/2018,11/02/2018,XY82004868,STK20,Louis Tomlinson,Niall Horan,Paul Arthurs,TLP,11/02/2018,01/03/2018,Cancel,Y,N,N,Y,400,LON5076F,LONMID,36222,2785,S
15,14/03/2018,14/03/2018,CV51467213,FUT500,Louis Tomlinson,James Cordan,Paul Arthurs,IFGL,12/03/2018,22/03/2018,Cancel,Y,N,Y,Y,0,NMKL009,LONLONG,68800,1200,B
16,26/03/2018,29/03/2018,AZ11410303,BD202,Liam Payne,James Cordan,Liam Gallagher,KAP,19/03/2018,02/04/2018,Cancel,N,Y,N,N,0,CIP23223,LONMID,86213,635,B
17,12/03/2018,15/03/2018,US52161724,LN202,Niall Horan,Niall Horan,Liam Gallagher,SJI,09/03/2018,23/03/2018,Amend,N,Y,Y,Y,700,NMKL009,LONLONG,11678,3208,B
18,26/02/2018,26/02/2018,HL70571117,FUT500,Louis Tomlinson,James Cordan,Paul Arthurs,THR,18/02/2018,26/02/2018,Cancel,N,N,Y,N,-600,LON9005,LONMID,3904,4943,S
19,04/03/2018,06/03/2018,CN41847262,BD202,Liam Payne,Liam Payne,Liam Gallagher,SHPG,01/03/2018,05/03/2018,Cancel,N,Y,N,Y,1000,TY00TYO,LONLONG,93759,3364,B
20,18/02/2018,21/02/2018,RW12291502,STK20,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,RBCN,12/02/2018,26/02/2018,Cancel,Y,N,N,Y,400,GOXXX90,LONMID,12727,3899,S
21,13/03/2018,16/03/2018,YC76591342,NY422,Louis Tomlinson,Niall Horan,Paul Arthurs,SCG,14/03/2018,26/03/2018,Cancel,N,Y,N,Y,600,MCXXXX,LONLONG,4955,1770,S
22,04/03/2018,06/03/2018,GM88292200,NY422,Louis Tomlinson,Niall Horan,Paul Arthurs,SSI,06/03/2018,13/03/2018,Cancel,N,N,N,Y,-1000,CIP23223,LONMID,72952,489,S
23,25/02/2018,28/02/2018,OV72287108,STK20,Louis Tomlinson,Zayn Malik,Paul Arthurs,COG,28/02/2018,13/03/2018,Cancel,N,Y,Y,N,100,LON5076F,LONLONG,79231,3794,B
24,05/02/2018,05/02/2018,TL44302286,BD202,Liam Payne,Louis Tomlinson,Liam Gallagher,QINC,27/01/2018,02/02/2018,Cancel,Y,N,N,N,400,MCXXXX,LONMID,76260,4997,B
25,06/03/2018,06/03/2018,DJ59657590,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,ROST,25/02/2018,04/03/2018,Amend,N,N,N,N,0,TY00TYO,LONLONG,40392,584,B
26,16/02/2018,18/02/2018,MG02169965,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,FAC,08/02/2018,28/02/2018,Amend,N,N,N,N,700,LON9005,LONMID,17611,2557,S
27,25/02/2018,28/02/2018,EB30602328,NY422,Louis Tomlinson,Zayn Malik,Paul Arthurs,KBLMU,26/02/2018,03/03/2018,Amend,Y,N,Y,Y,-2500,MCXXXX,LONLONG,69408,4892,S
28,07/03/2018,07/03/2018,KO17276169,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,STL,04/03/2018,18/03/2018,Cancel,N,N,Y,Y,500,TY00TYO,LONMID,35056,3895,B
29,10/03/2018,13/03/2018,RH46032569,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,FSLR,12/03/2018,22/03/2018,Cancel,N,Y,N,N,300,CIP23223,LONLONG,84944,849,B
30,11/02/2018,13/02/2018,KT38587984,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,PDLI,11/02/2018,25/02/2018,Amend,N,N,N,Y,400,TY00TYO,LONMID,20778,2688,B
31,04/02/2018,07/02/2018,PT73299622,BD202,Liam Payne,Mick Jones,Liam Gallagher,ZG,02/02/2018,13/02/2018,Cancel,N,N,Y,Y,1000,MCXXXX,LONLONG,66587,4735,B
32,23/02/2018,24/02/2018,WX17795349,STK350,Louis Tomlinson,Zayn Malik,Paul Arthurs,MBTF,18/02/2018,24/02/2018,Amend,Y,N,Y,N,50000,MCXXXX,LONMID,33879,4643,S
33,10/03/2018,11/03/2018,TE49670908,LN202,Niall Horan,Zayn Malik,Liam Gallagher,PGLC,05/03/2018,14/03/2018,Amend,N,N,N,Y,10,DD14ET6,LONLONG,66517,3338,S
34,21/03/2018,23/03/2018,RJ95030870,BD202,Liam Payne,James Cordan,Liam Gallagher,PLBC,23/03/2018,05/04/2018,Amend,N,N,N,Y,-500000,LON5076F,LONMID,9312,4728,S
35,16/02/2018,19/02/2018,SH39978862,LN202,Niall Horan,Mick Jones,Liam Gallagher,TEGP,18/02/2018,27/02/2018,Cancel,N,N,Y,Y,50000,CIP23223,LONLONG,95732,4472,B
36,19/02/2018,21/02/2018,LF71530480,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,CBAK,12/02/2018,03/03/2018,Cancel,N,Y,N,N,0,RD7070,LONMID,80788,1201,S
37,16/03/2018,16/03/2018,HE73373274,BD202,Liam Payne,Zayn Malik,Liam Gallagher,TYPE,10/03/2018,22/03/2018,Cancel,N,N,N,N,4500,TY00TYO,LONLONG,84153,3129,S
38,16/02/2018,18/02/2018,BY88143528,STK350,Louis Tomlinson,Zayn Malik,Paul Arthurs,STAG,11/02/2018,15/02/2018,Amend,N,Y,N,Y,50000,MCXXXX,LONMID,27492,4067,S
39,08/03/2018,08/03/2018,MD06521139,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,BPT,26/02/2018,06/03/2018,Cancel,Y,N,Y,Y,300,DD14ET6,LONLONG,43525,3507,S
40,04/03/2018,04/03/2018,MJ04772963,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,UHAL,23/02/2018,12/03/2018,Cancel,N,N,N,N,-500000,NMKL009,LONMID,89535,3023,B
41,08/03/2018,11/03/2018,QI14269976,NY422,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,VYMI,11/03/2018,27/03/2018,Amend,Y,N,N,Y,400,NMKL009,LONLONG,50550,1374,S
42,03/03/2018,06/03/2018,TA85487378,STK350,Louis Tomlinson,Ed Sheeran,Paul Arthurs,MRTN,06/03/2018,26/03/2018,Cancel,N,N,N,N,0,MCXXXX,LONMID,46614,3522,S
43,24/03/2018,26/03/2018,PO66718192,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,SLQD,22/03/2018,07/04/2018,Cancel,Y,Y,N,N,-100000,DD14ET6,LONLONG,53337,2774,B
44,24/02/2018,25/02/2018,FX47786582,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,BKK,20/02/2018,08/03/2018,Amend,N,N,N,Y,55,RD7070,LONMID,8073,1466,B
45,01/03/2018,01/03/2018,SX77674292,LN202,Niall Horan,Liam Payne,Liam Gallagher,ANH^A,28/02/2018,16/03/2018,Amend,N,N,N,Y,420,NMKL009,LONLONG,5835,4839,B
46,27/02/2018,01/03/2018,ER29195301,LN202,Niall Horan,Liam Payne,Liam Gallagher,PFMT,01/03/2018,17/03/2018,Cancel,N,Y,Y,N,420,FF90HUI,LONMID,42179,3655,B
47,23/02/2018,23/02/2018,AR59321545,LN202,Niall Horan,Mick Jones,Liam Gallagher,CELP,23/02/2018,05/03/2018,Cancel,Y,N,N,N,0,GOXXX90,LONLONG,17097,1618,S
48,29/03/2018,31/03/2018,FI76727577,NY422,Louis Tomlinson,Zayn Malik,Paul Arthurs,ARI^A,22/03/2018,26/03/2018,Amend,Y,N,N,Y,400,GOXXX90,LONMID,3487,2050,B
49,27/02/2018,27/02/2018,QE70627046,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,AFAM,19/02/2018,25/02/2018,Cancel,N,N,N,N,50000,RD7070,LONLONG,31170,3535,B
50,16/03/2018,19/03/2018,YU12835556,BD202,Liam Payne,James Cordan,Liam Gallagher,BBT^F,15/03/2018,18/03/2018,Amend,Y,Y,N,N,0,LON9005,LONMID,1920,1092,B
51,18/03/2018,18/03/2018,BC93433496,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,RARE,15/03/2018,20/03/2018,Cancel,N,Y,N,N,0,TY00TYO,LONLONG,87757,2483,B
52,21/03/2018,24/03/2018,BO43560124,LN202,Niall Horan,Niall Horan,Liam Gallagher,CPG,15/03/2018,22/03/2018,Amend,Y,Y,Y,N,700,FF90HUI,LONMID,23861,711,S
53,08/02/2018,09/02/2018,SH10499943,STK350,Louis Tomlinson,Liam Payne,Paul Arthurs,HTLF,05/02/2018,16/02/2018,Amend,N,Y,N,N,100,FF90HUI,LONLONG,18863,3897,S
54,13/03/2018,16/03/2018,WV26718308,STK350,Louis Tomlinson,Zayn Malik,Paul Arthurs,WFT,11/03/2018,16/03/2018,Amend,N,Y,N,Y,420,LON5076F,LONMID,50229,4379,S
55,10/03/2018,12/03/2018,LQ20693712,STK350,Louis Tomlinson,Niall Horan,Paul Arthurs,PEGA,02/03/2018,06/03/2018,Amend,N,N,Y,Y,-1000,MCXXXX,LONLONG,26153,4165,S
56,02/03/2018,05/03/2018,VC36700004,STK20,Louis Tomlinson,Harry Styles,Paul Arthurs,PER,05/03/2018,14/03/2018,Cancel,N,Y,N,Y,0,FF90HUI,LONMID,60903,4068,S
57,08/03/2018,08/03/2018,NU51119898,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,BHI,01/03/2018,15/03/2018,Amend,N,N,N,Y,50000,MCXXXX,LONLONG,62737,4984,S
58,20/03/2018,20/03/2018,BF52990853,LN202,Niall Horan,Mick Jones,Liam Gallagher,PDEX,11/03/2018,15/03/2018,Cancel,Y,Y,N,Y,0,GOXXX90,LONMID,82410,4469,B
59,05/03/2018,08/03/2018,OL19741369,STK350,Louis Tomlinson,Harry Styles,Paul Arthurs,KOS,07/03/2018,10/03/2018,Amend,N,N,N,Y,1000,GOXXX90,LONLONG,6073,2225,S
60,06/03/2018,06/03/2018,LY31638197,FUT500,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,ARU.CL,26/02/2018,01/03/2018,Cancel,Y,N,N,Y,0,GOXXX90,LONMID,77758,3901,S
61,19/02/2018,22/02/2018,QU94741215,BD202,Liam Payne,James Cordan,Liam Gallagher,SVBI,20/02/2018,11/03/2018,Cancel,N,Y,Y,N,0,LON5076F,LONLONG,60990,1913,B
62,19/03/2018,19/03/2018,XE15661345,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,BKEPP,12/03/2018,25/03/2018,Amend,N,N,Y,Y,100,MCXXXX,LONMID,30094,1617,S
63,01/03/2018,02/03/2018,PP85890457,FUT500,Louis Tomlinson,Zayn Malik,Paul Arthurs,WHLRW,22/02/2018,06/03/2018,Amend,Y,N,N,Y,600,MCXXXX,LONLONG,41211,840,B
64,25/02/2018,28/02/2018,ZH28344254,FUT500,Louis Tomlinson,Zayn Malik,Paul Arthurs,GTIM,23/02/2018,13/03/2018,Cancel,Y,Y,N,Y,420,FF90HUI,LONMID,91943,2609,B
65,28/03/2018,31/03/2018,UR49782539,STK20,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,AGNCB,28/03/2018,01/04/2018,Amend,Y,N,N,N,300,CIP23223,LONLONG,85776,3647,S
66,13/03/2018,14/03/2018,PK76300069,BD202,Liam Payne,Niall Horan,Liam Gallagher,SCKT,09/03/2018,17/03/2018,Amend,Y,N,N,N,-100000,DD14ET6,LONMID,98058,2801,B
67,11/03/2018,14/03/2018,PR53566889,BD202,Liam Payne,Liam Payne,Liam Gallagher,DVD,10/03/2018,30/03/2018,Cancel,N,N,N,N,0,LON9005,LONLONG,15155,1404,B
68,11/03/2018,13/03/2018,JN29964798,NY422,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,AMT,12/03/2018,21/03/2018,Amend,N,N,Y,N,600,LON9005,LONMID,24183,765,S
69,18/02/2018,20/02/2018,RK73282333,NY422,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,GLOG,14/02/2018,24/02/2018,Amend,N,N,Y,N,55,NMKL009,LONLONG,96615,1157,S
70,19/03/2018,21/03/2018,LF85243988,STK20,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,TANNZ,12/03/2018,28/03/2018,Cancel,N,N,N,Y,4500,LON5076F,LONMID,49165,1526,B
71,26/02/2018,28/02/2018,QC10648742,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,MDT,27/02/2018,17/03/2018,Amend,N,N,N,N,-1000,DD14ET6,LONLONG,49079,4725,B
72,05/02/2018,07/02/2018,HG46582395,BD202,Liam Payne,Adele Adkins,Liam Gallagher,NZF,04/02/2018,17/02/2018,Cancel,N,N,N,Y,700,TY00TYO,LONMID,38852,3788,S
73,06/02/2018,06/02/2018,GB24485658,LN202,Niall Horan,Harry Styles,Liam Gallagher,BHACW,29/01/2018,16/02/2018,Amend,N,N,Y,N,50000,FF90HUI,LONLONG,17511,941,B
74,19/03/2018,21/03/2018,MW28504635,STK20,Louis Tomlinson,Liam Payne,Paul Arthurs,JELD,16/03/2018,31/03/2018,Amend,N,N,N,N,600,RD7070,LONMID,2426,4469,S
75,20/02/2018,22/02/2018,XY77930925,NY422,Louis Tomlinson,Mick Jones,Paul Arthurs,CHRW,21/02/2018,02/03/2018,Cancel,N,N,N,N,700,GOXXX90,LONLONG,79948,3902,B
76,16/03/2018,19/03/2018,MN67193082,BD202,Liam Payne,Louis Tomlinson,Liam Gallagher,GWW,18/03/2018,28/03/2018,Amend,N,Y,Y,N,600,DD14ET6,LONMID,24616,3467,S
77,07/02/2018,08/02/2018,IQ12321010,BD202,Liam Payne,Zayn Malik,Liam Gallagher,NTL,30/01/2018,15/02/2018,Cancel,N,N,N,N,700,RD7070,LONLONG,5209,1317,B
78,10/02/2018,10/02/2018,IO21355495,FUT500,Louis Tomlinson,James Cordan,Paul Arthurs,JKI,08/02/2018,21/02/2018,Cancel,N,N,Y,Y,300,LON9005,LONMID,80574,1007,S
79,24/02/2018,27/02/2018,UD92984449,BD202,Liam Payne,Niall Horan,Liam Gallagher,PRI,19/02/2018,04/03/2018,Amend,N,N,Y,Y,-1000,NMKL009,LONLONG,29602,1677,B
80,03/03/2018,04/03/2018,PS68859659,STK350,Louis Tomlinson,Mick Jones,Paul Arthurs,NLY^A,27/02/2018,11/03/2018,Cancel,N,Y,N,Y,400,TY00TYO,LONMID,36352,1827,B
81,23/02/2018,26/02/2018,TE88691811,STK20,Louis Tomlinson,James Cordan,Paul Arthurs,STLD,23/02/2018,02/03/2018,Cancel,Y,N,Y,N,-100000,LON5076F,LONLONG,34111,4254,S
82,06/03/2018,06/03/2018,TM83623408,NY422,Louis Tomlinson,Ed Sheeran,Paul Arthurs,RDCM,02/03/2018,08/03/2018,Cancel,N,Y,N,Y,400,MCXXXX,LONMID,94116,1600,B
83,11/02/2018,14/02/2018,VH57746255,FUT500,Louis Tomlinson,Mick Jones,Paul Arthurs,HMSY,10/02/2018,28/02/2018,Amend,N,Y,Y,Y,0,RD7070,LONLONG,48960,2341,B
84,10/03/2018,13/03/2018,AL87899233,LN202,Niall Horan,James Cordan,Liam Gallagher,FNHC,12/03/2018,31/03/2018,Amend,N,Y,N,N,-100000,LON5076F,LONMID,71862,471,S
85,05/03/2018,07/03/2018,RU86818073,LN202,Niall Horan,Zayn Malik,Liam Gallagher,MACQ,01/03/2018,15/03/2018,Cancel,Y,N,N,Y,-2500,TY00TYO,LONLONG,61865,1330,S
86,15/03/2018,15/03/2018,EU68206336,FUT500,Louis Tomlinson,Adele Adkins,Paul Arthurs,IBN,07/03/2018,14/03/2018,Amend,N,Y,N,N,1000,LON9005,LONMID,96934,2694,B
87,04/02/2018,07/02/2018,DD72504194,FUT500,Louis Tomlinson,Mick Jones,Paul Arthurs,OII,05/02/2018,20/02/2018,Cancel,Y,N,Y,N,-1000,RD7070,LONLONG,59020,924,S
88,19/03/2018,22/03/2018,FO45305088,STK350,Louis Tomlinson,Adele Adkins,Paul Arthurs,THG,12/03/2018,29/03/2018,Cancel,N,N,Y,Y,400,DD14ET6,LONMID,36521,2593,S
89,28/02/2018,28/02/2018,UV34099889,STK20,Louis Tomlinson,James Cordan,Paul Arthurs,HRI,19/02/2018,27/02/2018,Cancel,Y,Y,N,N,-2500,NMKL009,LONLONG,5832,479,B
90,25/03/2018,25/03/2018,NY52648335,STK20,Louis Tomlinson,Zayn Malik,Paul Arthurs,AA,21/03/2018,30/03/2018,Amend,N,N,N,Y,55,FF90HUI,LONMID,76662,2331,B
91,29/03/2018,29/03/2018,OL13156305,STK350,Louis Tomlinson,Liam Payne,Paul Arthurs,SIGI,25/03/2018,14/04/2018,Cancel,N,Y,N,Y,1000,FF90HUI,LONLONG,51802,3235,B
92,22/03/2018,25/03/2018,AW10775536,BD202,Liam Payne,Ed Sheeran,Liam Gallagher,AMRC,21/03/2018,31/03/2018,Amend,N,N,N,N,100,CIP23223,LONMID,6717,1055,B
93,22/03/2018,22/03/2018,TI44663118,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,BABA,14/03/2018,21/03/2018,Cancel,N,N,N,N,4500,MCXXXX,LONLONG,28440,2818,B
94,20/03/2018,22/03/2018,DG71444201,NY422,Louis Tomlinson,Mick Jones,Paul Arthurs,WD,16/03/2018,28/03/2018,Cancel,N,N,N,Y,-100000,TY00TYO,LONMID,42932,3193,B
95,18/03/2018,19/03/2018,WQ41893800,STK20,Louis Tomlinson,James Cordan,Paul Arthurs,TCI,18/03/2018,02/04/2018,Cancel,Y,N,N,Y,0,FF90HUI,LONLONG,9388,540,S
96,18/02/2018,19/02/2018,HQ22826910,FUT500,Louis Tomlinson,Ed Sheeran,Paul Arthurs,MHN,10/02/2018,21/02/2018,Cancel,N,N,N,N,500,GOXXX90,LONMID,62884,625,S
97,09/02/2018,10/02/2018,JQ73601927,BD202,Liam Payne,Niall Horan,Liam Gallagher,ETE,10/02/2018,21/02/2018,Amend,N,N,N,N,420,RD7070,LONLONG,45812,3618,S
98,14/02/2018,17/02/2018,OQ91668663,STK350,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,NAKD,07/02/2018,27/02/2018,Cancel,Y,N,N,N,0,TY00TYO,LONMID,25797,986,S
99,11/03/2018,12/03/2018,QR20214667,LN202,Niall Horan,Louis Tomlinson,Liam Gallagher,TRCH,04/03/2018,11/03/2018,Amend,N,N,N,N,0,GOXXX90,LONLONG,15217,4734,B
100,21/03/2018,24/03/2018,BN15665372,STK20,Louis Tomlinson,Harry Styles,Paul Arthurs,VRA,18/03/2018,05/04/2018,Cancel,Y,N,Y,N,0,LON9005,LONMID,28910,2979,B
101,11/02/2018,13/02/2018,VM47950690,LN202,Niall Horan,Mick Jones,Liam Gallagher,HR,05/02/2018,08/02/2018,Cancel,N,N,N,N,0,DD14ET6,LONLONG,51092,3161,B
102,12/03/2018,13/03/2018,AF14546000,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,PHII,09/03/2018,18/03/2018,Amend,Y,N,N,N,0,MCXXXX,LONMID,12584,2182,B
103,24/03/2018,24/03/2018,NO79290390,BD202,Liam Payne,Zayn Malik,Liam Gallagher,LH,14/03/2018,31/03/2018,Cancel,N,N,N,Y,300,DD14ET6,LONLONG,18428,1838,S
104,12/02/2018,12/02/2018,NC70742339,STK350,Louis Tomlinson,Zayn Malik,Paul Arthurs,INFN,06/02/2018,16/02/2018,Cancel,N,N,Y,N,10,DD14ET6,LONMID,94854,4509,S
105,13/02/2018,15/02/2018,ZZ22282188,STK350,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,SC,12/02/2018,27/02/2018,Cancel,N,N,Y,Y,600,RD7070,LONLONG,99285,4091,B
106,06/03/2018,09/03/2018,HQ95819001,NY422,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,ESGD,02/03/2018,12/03/2018,Amend,N,N,N,Y,1000,GOXXX90,LONMID,80926,1286,B
107,06/03/2018,09/03/2018,XX83914175,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,LOB,08/03/2018,20/03/2018,Amend,N,Y,Y,N,400,GOXXX90,LONLONG,66371,3910,B
108,13/03/2018,16/03/2018,UZ10052756,BD202,Liam Payne,Liam Payne,Liam Gallagher,DUKH,09/03/2018,13/03/2018,Cancel,N,N,Y,N,300,FF90HUI,LONMID,95558,1818,S
109,19/02/2018,19/02/2018,OD80542282,LN202,Niall Horan,Harry Styles,Liam Gallagher,BLFS,18/02/2018,02/03/2018,Amend,N,N,N,N,55,FF90HUI,LONLONG,24773,150,B
110,02/03/2018,03/03/2018,BG83318557,BD202,Liam Payne,Adele Adkins,Liam Gallagher,APTI,28/02/2018,14/03/2018,Amend,Y,N,N,Y,-2500,TY00TYO,LONMID,11601,2607,S
111,09/03/2018,09/03/2018,HH42434123,FUT500,Louis Tomlinson,Mick Jones,Paul Arthurs,HK,03/03/2018,20/03/2018,Amend,N,Y,N,N,50000,MCXXXX,LONLONG,79488,1277,S
112,29/03/2018,29/03/2018,WS82401493,BD202,Liam Payne,Ed Sheeran,Liam Gallagher,CTBB,20/03/2018,26/03/2018,Cancel,N,Y,N,Y,0,GOXXX90,LONMID,81079,3382,S
113,25/02/2018,25/02/2018,YO25613042,STK20,Louis Tomlinson,Niall Horan,Paul Arthurs,LAZ,22/02/2018,26/02/2018,Cancel,N,Y,N,Y,600,RD7070,LONLONG,7779,3544,S
114,22/02/2018,25/02/2018,PR53165323,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,NLY^A,17/02/2018,26/02/2018,Amend,N,N,N,Y,-600,CIP23223,LONMID,10261,2687,S
115,03/03/2018,06/03/2018,FK06903185,BD202,Liam Payne,Zayn Malik,Liam Gallagher,DRIO,02/03/2018,07/03/2018,Cancel,N,Y,N,Y,100,TY00TYO,LONLONG,45381,1476,B
116,04/03/2018,05/03/2018,QC36471352,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,FICO,28/02/2018,17/03/2018,Cancel,N,Y,N,N,-2500,TY00TYO,LONMID,74617,223,S
117,27/02/2018,27/02/2018,SC70360317,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,FCEL,19/02/2018,11/03/2018,Amend,N,N,Y,Y,-1000,TY00TYO,LONLONG,2317,4157,S
118,21/02/2018,23/02/2018,VD18004721,STK350,Louis Tomlinson,Harry Styles,Paul Arthurs,WTM,19/02/2018,10/03/2018,Amend,Y,Y,Y,N,-100000,GOXXX90,LONMID,30175,4377,B
119,26/02/2018,26/02/2018,FW45835581,BD202,Liam Payne,James Cordan,Liam Gallagher,PMM,22/02/2018,14/03/2018,Cancel,N,Y,N,N,55,NMKL009,LONLONG,67804,3694,S
120,11/02/2018,14/02/2018,XK34604505,STK350,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,IRR,06/02/2018,11/02/2018,Cancel,N,N,N,N,300,CIP23223,LONMID,12579,1618,B
121,24/03/2018,27/03/2018,JV79886521,STK350,Louis Tomlinson,Liam Payne,Paul Arthurs,PSEC,23/03/2018,02/04/2018,Amend,N,Y,N,N,0,DD14ET6,LONLONG,79201,4336,S
122,24/03/2018,24/03/2018,RG08634435,FUT500,Louis Tomlinson,Harry Styles,Paul Arthurs,PRGO,21/03/2018,24/03/2018,Amend,N,N,N,Y,1000,DD14ET6,LONMID,34497,3723,S
123,07/03/2018,07/03/2018,QG07461507,NY422,Louis Tomlinson,Mick Jones,Paul Arthurs,SMMT,06/03/2018,12/03/2018,Amend,N,N,Y,Y,-1000,MCXXXX,LONLONG,29630,2666,S
124,09/02/2018,12/02/2018,FP04162826,BD202,Liam Payne,Liam Payne,Liam Gallagher,FUNC,02/02/2018,21/02/2018,Amend,Y,N,Y,Y,700,LON9005,LONMID,18706,4981,B
125,17/03/2018,19/03/2018,TV89859925,BD202,Liam Payne,Mick Jones,Liam Gallagher,NBB,15/03/2018,27/03/2018,Cancel,N,Y,Y,N,600,TY00TYO,LONLONG,15225,4449,B
126,07/02/2018,07/02/2018,NT31807418,BD202,Liam Payne,Harry Styles,Liam Gallagher,GDV,05/02/2018,12/02/2018,Amend,N,N,Y,Y,400,GOXXX90,LONMID,18567,1046,S
127,28/02/2018,01/03/2018,XY45515347,NY422,Louis Tomlinson,Liam Payne,Paul Arthurs,AKBA,01/03/2018,11/03/2018,Cancel,N,N,N,N,420,TY00TYO,LONLONG,94410,594,B
128,21/03/2018,23/03/2018,LQ06792141,BD202,Liam Payne,Zayn Malik,Liam Gallagher,FSNN,20/03/2018,30/03/2018,Cancel,N,N,N,N,300,DD14ET6,LONMID,5795,2949,B
129,19/02/2018,19/02/2018,MR76251443,STK20,Louis Tomlinson,Mick Jones,Paul Arthurs,UCP,09/02/2018,20/02/2018,Cancel,N,N,N,N,-1000,CIP23223,LONLONG,45778,2857,B
